Ticker,Qty
8249 TT,7000
8271 TT,57000
8289 TT,9000
8349 TT,332000
8358 TT,14000
8390 TT,23000
8403 TT,36000
8411 TT,115000
8422 TT,24000
8429 TT,14000
8433 TT,14000
8436 TT,19000
8437 TT,30000
8440 TT,7000
8446 TT,7000
8463 TT,7000
8499 TT,8000
8906 TT,6000
8928 TT,16000
8929 TT,9000
8937 TT,16000
9105 TT,192000
9120 TT,85000
9136 TT,40000
9907 TT,885000
9908 TT,78000
9911 TT,17000
9919 TT,10000
9921 TT,21000
9926 TT,10000
9927 TT,28000
9930 TT,19000
9935 TT,20000
9938 TT,19000
9940 TT,132000
9942 TT,7000
9943 TT,25000
9951 TT,13000
9955 TT,6000
9962 TT,10000
